Title,Description,Price (INR),Image URL,Product Link,Category
"boAt 2025 Launch Rockerz 411, 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)","boAt 2025 Launch Rockerz 411, 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)",1299.0,https://m.media-amazon.com/images/I/71QdB7hDCAL._AC_UY218_.jpg,https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2Y8XYF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-1,Headphones
Boat BassHeads 100 in-Ear Headphones with Mic (Black),Boat BassHeads 100 in-Ear Headphones with Mic (Black),339.0,https://m.media-amazon.com/images/I/513ugd16C6L._AC_UY218_.jpg,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_2?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-2,Headphones
"boAt Rockerz 480, RGB LEDs,6 Light Modes, 40mm Drivers,Beast Mode, 60H Battery, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (White Sabre)","boAt Rockerz 480, RGB LEDs,6 Light Modes, 40mm Drivers,Beast Mode, 60H Battery, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (White Sabre)",1599.0,https://m.media-amazon.com/images/I/61cIHzCDl6L._AC_UY218_.jpg,https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTTKCJX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-3,Headphones
"boAt Rockerz 480, RGB LEDs,6 Light Modes, 40mm Drivers,Beast Mode, 60H Battery, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Black Sabre)","boAt Rockerz 480, RGB LEDs,6 Light Modes, 40mm Drivers,Beast Mode, 60H Battery, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Black Sabre)",1599.0,https://m.media-amazon.com/images/I/711l4y8aNlL._AC_UY218_.jpg,https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTSRX3R/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-4,Headphones
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)","boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)",1499.0,https://m.media-amazon.com/images/I/61gYxcIGjvL._AC_UY218_.jpg,https://www.amazon.in/boAt-Bluetooth-Headphones-Playback-Isolation/dp/B0856HY85J/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-5,Headphones
"Zebronics Zeb-Storm On Ear Wired Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)","Zebronics Zeb-Storm On Ear Wired Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",399.0,https://m.media-amazon.com/images/I/61FrvQMXxJL._AC_UY218_.jpg,https://www.amazon.in/ZEBRONICS-Zeb-Storm-Microphone-Adjustable-Lightweight/dp/B0B4G44RFS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-6,Headphones
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black","Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black",3489.0,https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY218_.jpg,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1PRC4L/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-7,Headphones
"Boat Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)","Boat Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)",1099.0,https://m.media-amazon.com/images/I/61XvYOrqVeL._AC_UY218_.jpg,https://www.amazon.in/Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3NQHX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-8,Headphones
"boAt 2025 Launch Rockerz 421, 40H Battery, Low Latency(40Ms), 40Mm Drivers, Enx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)","boAt 2025 Launch Rockerz 421, 40H Battery, Low Latency(40Ms), 40Mm Drivers, Enx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",1299.0,https://m.media-amazon.com/images/I/71quB2GTUKL._AC_UY218_.jpg,https://www.amazon.in/boAt-Rockerz-Technology-Integrated-Headphones/dp/B0F7LY85KB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-9,Headphones
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",1399.0,https://m.media-amazon.com/images/I/51FNnHjzhQL._AC_UY218_.jpg,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQXRR3_LBH0ip6TujAworFdOcgU8tjtcfRLjD_vFiLIGXnXIsTPjN1S8AVhi9ZeSmxAoqmH5lqqib72Zx-6sQJU6-dlX696QhN75U48U0t6Sepeu4k2V0g7ZVGZtBQXe07_0i9v_5Y6ut9L7ZBwcjEPQDas6FVZl7Kx-Ci1fs1s7AcjsfQBdYYoAX5SWM9Gguqqcy2LRpMXqcOuyMYP7Bg4w.UoTwDYZuEaY1S8kBVCGAkg7zH7CypHC5vaEBQY4lD1c&dib_tag=se&keywords=Headphones&qid=1761141454&sr=8-10,Headphones
